compound,lap_age,track_temp,degradation_percent,lap_time_loss
Medium,26,22.4,32.36,1.559
Hard,17,31.3,5.92,0.257
Soft,34,45.1,100.0,4.63
Medium,29,38.2,51.5,2.231
Medium,0,37.1,0.0,0.0
Hard,3,30.7,1.03,0.043
Soft,8,34.4,37.84,1.51
Medium,27,33.8,46.94,2.063
Medium,12,32.2,16.76,0.707
Hard,42,36.8,15.92,0.706
Medium,12,36.8,18.79,0.894
Soft,32,21.2,100.0,4.049
Soft,10,22.4,26.13,1.186
Soft,12,35.9,79.91,3.269
Medium,11,43.9,17.14,0.795
Soft,24,20.8,86.19,4.194
Hard,18,51.8,7.79,0.303
Hard,43,18.8,13.54,0.532
Medium,21,52.0,41.68,2.15
Medium,23,30.5,36.01,1.631
Hard,36,23.8,12.78,0.645
Hard,41,28.9,14.03,0.709
Hard,39,42.7,14.54,0.744
Medium,7,29.1,7.62,0.327
Hard,14,23.3,4.56,0.206
Hard,23,46.5,8.37,0.422
Hard,1,28.6,0.31,0.014
Hard,17,28.6,5.79,0.266
Soft,32,43.0,100.0,4.917
Medium,8,24.0,8.95,0.425
Soft,0,34.3,0.0,0.0
Soft,35,32.4,100.0,4.504
Medium,25,42.3,45.4,2.177
Medium,10,44.7,15.09,0.689
Hard,23,53.2,9.34,0.403
Hard,40,45.8,16.49,0.779
Soft,29,48.8,100.0,4.717
Hard,11,28.3,3.4,0.161
Hard,42,43.3,18.12,0.719
Soft,42,17.5,100.0,4.322
Hard,26,22.1,8.26,0.324
Medium,42,31.3,71.65,3.364
Soft,41,52.3,100.0,5.107
Hard,20,37.7,7.11,0.275
Soft,27,47.9,100.0,4.215
Medium,12,54.1,21.78,0.959
Medium,14,20.6,15.13,0.593
Soft,19,49.7,100.0,5.048
Soft,30,17.8,76.34,3.787
Medium,12,46.8,19.16,0.749
Hard,26,36.3,9.93,0.384
Hard,23,24.6,8.45,0.332
Soft,10,54.7,94.25,4.699
Medium,17,38.5,26.82,1.225
Soft,27,32.5,100.0,4.34
Medium,10,35.3,14.38,0.719
Soft,29,54.3,100.0,4.446
Soft,2,44.3,8.53,0.339
Medium,18,35.9,25.88,1.127
Hard,19,52.7,7.19,0.347
Medium,19,43.7,35.96,1.388
Medium,37,17.8,41.97,2.154
Hard,3,32.6,1.01,0.048
Hard,18,51.7,6.84,0.265
Hard,38,23.3,13.49,0.592
Soft,16,18.4,33.54,1.49
Hard,17,42.4,6.08,0.235
Medium,23,46.4,43.16,1.863
Hard,32,33.2,11.28,0.49
Soft,27,32.8,100.0,4.699
Medium,7,25.6,7.13,0.363
Medium,25,15.8,26.45,1.107
Soft,29,34.0,100.0,3.913
Soft,34,30.5,100.0,4.277
Soft,5,51.3,34.92,1.743
Medium,6,25.2,6.52,0.304
Medium,7,16.4,5.54,0.276
Medium,0,40.3,0.0,0.0
Soft,20,28.9,100.0,4.768
Medium,12,35.0,15.88,0.639
Medium,9,27.9,9.7,0.456
Medium,20,47.5,41.27,1.746
Soft,35,35.7,100.0,3.872
Hard,27,42.0,9.69,0.471
Soft,15,31.3,78.14,3.004
Hard,41,39.5,15.1,0.593
Hard,6,52.8,2.42,0.101
Soft,1,47.5,3.45,0.155
Soft,39,33.1,100.0,5.167
Hard,8,41.5,3.11,0.146
Hard,33,32.9,13.03,0.627
Medium,45,38.6,97.64,4.555
Medium,16,40.4,25.83,1.103
Soft,9,31.2,39.37,1.598
Soft,34,52.5,100.0,4.629
Medium,27,50.8,59.7,2.992
Soft,21,17.8,52.47,2.408
Hard,8,43.0,2.92,0.144
Soft,1,44.4,3.09,0.139
Hard,14,41.5,5.19,0.234
Soft,31,15.1,58.35,2.338
Soft,32,39.4,100.0,4.309
Hard,44,49.4,17.39,0.839
Soft,22,33.2,100.0,4.584
Hard,15,46.7,5.71,0.282
Medium,41,21.6,52.56,2.597
Soft,37,47.5,100.0,3.983
Soft,24,40.8,100.0,3.903
Hard,35,51.6,14.47,0.668
Soft,5,49.0,30.2,1.266
Hard,15,40.0,5.83,0.237
Hard,42,52.8,17.88,0.901
Soft,26,15.8,50.25,2.077
Soft,13,47.6,100.0,5.135
Soft,25,30.6,100.0,5.171
Medium,0,46.7,0.0,0.0
Hard,1,40.9,0.32,0.016
Hard,38,17.1,11.57,0.508
Hard,11,29.4,3.84,0.178
Hard,2,29.1,0.68,0.029
Medium,18,27.5,22.33,1.027
Medium,4,48.8,5.53,0.243
Medium,3,29.9,3.1,0.144
Hard,39,53.7,16.52,0.652
Soft,40,35.2,100.0,5.04
Hard,34,23.4,11.51,0.481
Soft,15,20.4,45.17,2.002
Medium,36,48.3,83.71,4.303
Medium,27,32.6,42.8,2.197
Hard,2,26.2,0.64,0.027
Soft,6,28.3,20.02,0.94
Hard,8,50.7,3.18,0.124
Hard,15,47.9,5.77,0.291
Hard,3,23.5,0.9,0.041
Medium,23,50.3,48.16,2.081
Soft,20,52.7,100.0,4.16
Hard,44,54.2,19.01,0.779
Soft,31,15.0,50.74,1.98
Hard,2,45.5,0.73,0.03
Hard,5,49.2,1.73,0.072
Soft,0,35.1,0.0,0.0
Soft,25,15.4,45.66,1.762
Medium,22,34.6,35.81,1.76
Medium,7,50.5,11.42,0.523
Medium,25,25.4,32.95,1.527
Medium,14,46.4,24.15,1.143
Medium,45,18.0,63.95,2.568
Hard,10,54.4,4.18,0.209
Soft,27,19.2,80.88,3.946
Soft,10,44.0,69.47,3.454
Hard,41,27.1,15.32,0.66
Medium,37,20.7,45.55,2.068
Medium,24,36.6,43.57,2.198
Hard,36,50.9,16.13,0.763
Medium,17,29.1,25.31,1.297
Hard,2,22.0,0.59,0.027
Medium,5,46.4,7.04,0.294
Hard,45,48.9,19.44,0.945
Soft,24,45.8,100.0,4.663
Soft,32,28.2,100.0,4.875
Medium,38,27.2,58.12,2.393
Hard,45,23.7,14.75,0.706
Soft,0,21.3,0.0,0.0
Medium,34,52.5,77.32,3.841
Medium,25,44.0,50.28,2.139
Soft,7,45.2,47.59,2.079
Soft,33,52.3,100.0,3.945
Medium,27,49.9,58.44,2.726
Hard,43,21.4,13.95,0.672
Medium,23,37.1,41.35,1.704
Medium,16,43.1,30.47,1.424
Medium,18,40.0,27.83,1.152
Hard,35,31.0,12.71,0.642
Hard,16,30.1,6.01,0.262
Soft,33,19.8,100.0,4.645
Medium,2,20.5,1.55,0.076
Soft,11,42.5,87.48,3.609
Soft,22,41.5,100.0,4.472
Medium,38,46.9,77.53,3.01
Medium,45,36.1,86.42,3.801
Soft,4,29.4,12.2,0.593
Soft,15,52.2,100.0,4.255
Soft,38,36.1,100.0,4.697
Medium,22,25.9,27.5,1.13
Medium,35,35.8,61.14,2.744
Hard,19,20.8,5.93,0.264
Medium,14,36.1,19.74,0.974
Hard,22,48.0,8.04,0.385
Soft,28,35.3,100.0,4.996
Medium,0,16.4,0.0,0.0
Medium,30,46.8,67.74,3.169
Medium,45,17.4,54.43,2.713
Soft,13,54.9,100.0,4.069
Medium,30,26.2,48.12,2.337
Soft,27,44.4,100.0,4.252
Medium,45,17.6,55.36,2.776
Hard,10,53.4,3.81,0.158
Medium,34,28.7,53.03,2.144
Medium,43,29.5,72.19,2.959
Medium,4,25.4,4.15,0.16
Medium,42,25.2,58.83,2.55
Soft,3,17.5,3.29,0.133
Medium,43,35.4,76.06,3.781
Medium,38,41.2,75.89,3.032
Hard,15,40.0,6.08,0.272
Medium,24,28.1,31.39,1.296
Medium,7,26.3,7.06,0.289
Medium,42,50.1,100.0,4.543
Soft,26,47.7,100.0,4.696
Medium,21,22.2,24.62,1.164
Medium,23,30.5,34.47,1.673
Medium,43,48.0,89.61,4.37
Hard,40,53.7,18.05,0.927
Soft,38,33.0,100.0,4.269
Medium,42,26.9,72.4,2.946
Soft,37,25.5,100.0,4.172
Medium,31,49.6,66.66,3.338
Hard,12,39.4,4.8,0.23
Soft,4,52.8,28.05,1.25
Hard,38,21.6,12.62,0.529
Soft,32,36.6,100.0,4.023
Hard,28,17.5,9.6,0.467
Hard,14,25.9,5.07,0.247
Soft,1,20.3,0.94,0.045
Medium,45,24.6,66.25,2.776
Soft,17,17.4,35.98,1.86
Medium,34,45.6,69.38,3.051
Hard,24,43.1,10.05,0.469
Hard,40,39.9,15.7,0.696
Soft,16,52.5,100.0,4.049
Medium,29,19.1,34.52,1.576
Soft,30,46.3,100.0,4.286
Medium,7,48.6,11.12,0.435
Medium,13,30.1,17.31,0.682
Hard,33,43.9,12.31,0.519
Hard,40,54.3,18.63,0.856
Soft,25,32.0,100.0,4.795
Medium,10,27.4,12.44,0.542
Hard,34,35.9,12.94,0.623
Medium,25,21.9,33.41,1.505
Soft,19,33.6,100.0,4.675
Soft,16,34.8,100.0,5.026
Hard,27,32.6,10.7,0.475
Medium,28,18.7,32.19,1.521
Medium,29,39.4,52.25,2.377
Hard,11,22.7,3.37,0.136
Hard,3,54.2,1.03,0.048
Medium,4,23.9,3.66,0.153
Medium,8,54.8,14.45,0.723
Soft,4,28.8,11.35,0.586
Soft,4,37.3,18.23,0.779
Medium,5,46.3,8.0,0.355
Soft,27,33.2,100.0,5.141
Hard,12,48.1,4.31,0.17
Medium,19,27.5,26.3,1.075
Medium,10,29.0,13.64,0.679
Medium,15,24.7,19.98,0.966
Soft,5,16.3,5.03,0.257
Hard,25,33.0,9.51,0.44
Medium,37,38.6,72.93,3.626
Medium,30,16.7,31.97,1.57
Soft,23,32.1,100.0,3.995
Hard,12,22.5,3.5,0.146
Soft,21,27.3,100.0,5.059
Soft,25,50.0,100.0,4.521
Soft,27,35.0,100.0,4.679
Medium,42,27.5,64.84,2.987
Soft,1,41.5,3.08,0.126
Soft,26,49.4,100.0,4.587
Hard,1,30.1,0.31,0.012
Soft,37,26.8,100.0,4.991
Soft,5,39.6,23.71,1.05
Soft,41,45.4,100.0,3.893
Hard,42,34.3,16.97,0.663
Hard,13,35.1,4.28,0.17
Soft,1,23.6,1.14,0.053
Hard,12,38.5,4.63,0.214
Soft,6,29.8,19.72,0.932
Hard,23,39.9,9.48,0.425
Medium,5,32.4,6.35,0.248
Hard,24,35.5,9.6,0.372
Hard,1,15.2,0.29,0.014
Hard,17,49.8,6.84,0.269
Hard,12,19.7,4.02,0.169
Soft,26,15.0,41.84,1.749
Soft,6,44.4,35.05,1.771
Medium,17,38.0,28.47,1.373
Hard,39,20.2,11.87,0.563
Hard,6,38.9,2.25,0.116
Hard,42,16.9,14.59,0.604
Medium,4,34.6,4.53,0.232
Hard,8,15.7,2.52,0.109
Hard,19,36.7,6.55,0.286
Hard,1,50.6,0.38,0.017
Hard,0,19.3,0.0,0.0
Hard,13,54.6,5.22,0.244
Medium,13,39.3,20.04,0.995
Soft,41,25.7,100.0,4.105
Soft,0,49.0,0.0,0.0
Medium,12,28.4,16.2,0.835
Soft,22,23.8,99.62,4.273
Medium,11,52.1,21.23,1.098
Hard,35,40.9,14.15,0.726
Soft,19,54.8,100.0,4.182
Medium,35,50.3,77.44,3.335
Soft,43,31.2,100.0,4.045
Medium,2,48.7,2.72,0.128
Medium,43,53.1,100.0,3.934
Hard,36,23.2,11.48,0.454
Soft,15,35.5,100.0,3.924
Medium,25,34.9,43.37,2.025
Hard,23,21.2,8.23,0.416
Medium,43,35.2,88.25,4.008
Hard,2,25.4,0.66,0.031
Soft,37,15.6,86.9,3.928
Hard,33,38.5,11.69,0.569
Hard,40,28.0,14.24,0.583
Hard,34,16.8,10.83,0.446
Medium,13,45.1,21.05,0.91
Hard,35,31.4,13.04,0.553
Medium,13,42.7,21.6,0.978
Hard,4,47.2,1.39,0.054
Hard,22,42.7,7.84,0.329
Medium,3,44.7,3.91,0.162
Hard,24,18.0,8.21,0.314
Medium,32,47.8,66.71,3.144
Hard,8,42.3,3.02,0.136
Soft,0,50.0,0.0,0.0
Soft,20,28.1,100.0,4.597
Soft,20,48.7,100.0,4.192
Soft,9,41.5,64.11,3.051
Hard,36,36.7,12.42,0.628
Soft,39,22.6,100.0,4.275
Hard,16,19.3,5.35,0.213
Soft,19,35.6,100.0,4.163
Hard,2,39.0,0.7,0.035
Soft,43,31.5,100.0,3.992
Medium,45,37.5,88.93,4.502
Hard,3,15.1,0.76,0.037
Soft,44,15.9,100.0,4.608
Medium,21,54.3,47.05,2.047
Medium,15,22.5,17.7,0.832
Soft,24,35.2,100.0,4.15
Medium,25,50.6,50.27,2.266
Hard,31,25.6,10.87,0.424
Soft,32,42.0,100.0,4.596
Hard,0,28.7,0.0,0.0
Hard,17,21.5,5.63,0.249
Soft,25,21.1,98.7,4.431
Soft,1,43.0,2.96,0.132
Soft,3,48.3,15.64,0.615
Medium,29,51.2,65.73,3.177
Hard,5,29.9,1.57,0.072
Hard,22,43.7,9.04,0.366
Medium,16,24.9,19.28,0.773
Medium,12,20.1,12.16,0.509
Hard,30,52.0,12.97,0.595
Soft,42,21.5,100.0,4.658
Hard,29,54.6,12.04,0.586
Hard,41,24.8,13.52,0.523
Hard,21,48.6,8.45,0.336
Soft,6,26.6,20.04,1.0
Soft,23,24.1,96.55,4.845
Medium,4,23.8,3.34,0.133
Soft,18,32.0,100.0,4.075
Medium,15,33.6,22.01,1.043
Hard,1,53.6,0.35,0.016
Hard,8,44.6,3.21,0.164
Soft,42,20.1,100.0,4.238
Medium,25,39.9,46.98,2.186
Hard,33,52.5,14.46,0.622
Hard,37,32.4,14.31,0.562
Soft,22,15.6,37.78,1.667
Medium,39,39.9,77.02,3.675
Hard,25,22.6,8.4,0.378
Soft,28,19.5,83.63,4.174
Medium,20,16.9,23.43,1.009
Soft,8,16.8,10.27,0.516
Medium,0,44.3,0.0,0.0
Medium,36,44.0,71.49,3.427
Soft,13,45.6,100.0,4.236
Soft,7,31.3,32.01,1.257
Medium,39,50.2,90.63,4.296
Medium,37,34.5,66.27,2.635
Hard,45,38.2,18.79,0.919
Soft,23,34.8,100.0,3.998
Hard,3,51.5,1.11,0.047
Medium,33,31.0,50.74,2.147
Soft,25,49.8,100.0,4.233
Hard,34,43.9,12.94,0.561
Hard,13,32.8,4.82,0.214
Hard,31,28.9,9.91,0.469
Medium,41,42.7,88.64,3.471
Medium,33,25.3,46.27,1.801
Soft,31,48.0,100.0,4.638
Soft,17,27.3,77.79,3.613
Soft,25,30.6,100.0,4.212
Hard,25,46.4,10.43,0.416
Hard,33,18.0,9.74,0.395
Medium,45,32.6,76.55,3.779
Medium,18,38.5,29.66,1.342
Medium,23,43.0,43.08,1.785
Soft,41,40.4,100.0,4.522
Hard,6,27.7,1.93,0.096
Soft,13,46.6,100.0,4.861
Hard,22,28.7,7.53,0.334
Soft,29,39.0,100.0,4.468
Medium,41,17.2,49.32,2.313
Medium,13,16.1,11.34,0.508
Soft,16,19.2,39.93,2.045
Hard,11,19.3,3.19,0.149
Medium,24,32.9,35.5,1.383
Medium,21,46.5,44.49,1.799
Soft,31,33.8,100.0,4.305
Medium,9,51.9,15.76,0.797
Hard,17,23.6,5.36,0.242
Soft,9,15.9,10.65,0.447
Soft,26,26.7,100.0,3.882
Soft,24,28.6,100.0,5.113
Hard,6,44.0,2.2,0.096
Hard,26,33.1,8.9,0.361
Soft,3,37.9,12.84,0.66
Hard,36,28.7,13.35,0.689
Soft,11,17.4,20.01,0.879
Medium,2,30.9,1.9,0.096
Soft,43,43.8,100.0,5.061
Hard,16,25.9,5.17,0.213
Medium,37,51.3,79.47,4.011
Soft,2,46.8,9.05,0.35
Hard,24,34.7,9.19,0.388
Medium,9,24.8,9.38,0.465
Soft,44,53.5,100.0,3.993
Medium,30,38.6,51.97,2.392
Soft,21,35.9,100.0,3.934
Medium,43,46.9,93.18,3.788
Soft,31,48.1,100.0,4.118
Hard,2,52.3,0.73,0.029
Hard,29,25.2,10.75,0.498
Medium,32,37.7,61.85,2.772
Medium,10,36.6,14.06,0.553
Medium,44,40.6,93.99,4.267
Soft,32,45.5,100.0,3.984
Soft,13,16.3,19.95,0.948
Hard,9,52.8,3.58,0.155
Soft,9,23.4,26.11,1.014
Medium,33,47.1,69.83,2.899
Soft,16,26.1,72.83,3.178
Medium,26,16.4,31.05,1.576
Hard,10,31.7,3.34,0.161
Medium,40,27.4,63.02,2.621
Hard,37,37.8,12.87,0.513
Medium,42,30.2,74.68,3.474
Hard,2,27.5,0.63,0.025
Soft,39,49.3,100.0,4.7
Medium,16,26.8,21.22,0.825
Medium,12,34.6,18.5,0.749
Hard,26,33.3,10.14,0.433
Soft,20,31.5,100.0,4.052
Medium,11,54.2,20.14,0.952
Medium,25,15.4,27.16,1.368
Medium,5,18.4,4.32,0.218
Medium,25,44.3,45.79,1.866
Medium,31,39.2,61.4,2.412
Medium,32,28.5,46.48,2.156
Soft,43,33.2,100.0,4.61
Medium,38,26.6,54.42,2.189
Hard,9,52.0,3.36,0.14
Hard,28,28.2,10.49,0.538
Medium,5,34.6,5.88,0.263
Soft,42,25.3,100.0,4.316
Hard,33,54.1,15.12,0.668
Soft,31,38.4,100.0,5.171
Medium,3,35.6,3.48,0.171
Medium,32,23.7,47.88,1.904
Hard,36,22.3,11.85,0.537
Medium,41,35.7,77.44,2.985
Hard,23,31.7,7.75,0.299
Soft,9,34.4,46.31,2.156
Hard,26,41.4,9.05,0.403
Soft,39,21.2,100.0,5.033
Medium,5,25.6,5.22,0.215
Medium,18,33.0,25.45,1.258
Soft,37,22.0,100.0,4.375
Hard,45,35.1,16.24,0.746
Medium,10,34.9,13.69,0.686
Hard,15,44.2,6.04,0.308
Hard,36,49.9,15.01,0.603
Medium,1,42.2,0.93,0.047
Soft,39,48.2,100.0,3.967
Hard,26,51.8,11.14,0.43
Hard,1,39.0,0.33,0.013
Soft,39,23.3,100.0,4.064
Soft,17,46.1,100.0,3.996
Medium,23,39.1,37.75,1.693
Soft,44,43.1,100.0,4.067
Soft,6,47.0,44.98,1.865
Medium,3,46.1,3.87,0.193
Soft,11,37.7,77.39,3.225
Soft,5,43.2,27.84,1.371
Soft,27,15.2,46.27,2.254
Medium,37,46.3,86.93,3.589
Hard,27,32.0,10.13,0.517
Medium,29,27.9,40.52,1.865
Medium,19,51.3,38.89,2.0
Soft,32,18.4,100.0,4.007
Soft,29,21.2,100.0,3.985
Hard,5,36.5,1.87,0.08
Medium,3,46.0,4.29,0.189
Hard,42,49.3,16.97,0.857
Soft,24,33.3,100.0,4.393
Medium,22,39.8,42.49,1.958
Hard,24,54.9,9.94,0.44
Soft,11,20.5,26.47,1.364
Hard,45,37.9,18.4,0.874
Medium,15,33.0,19.7,0.825
Hard,16,54.0,6.31,0.25
Medium,9,32.2,10.78,0.48
Medium,45,51.0,100.0,4.021
Soft,43,27.1,100.0,3.97
Hard,37,48.7,14.34,0.648
Hard,43,38.1,17.96,0.749
Soft,6,33.1,23.5,1.109
Hard,23,36.6,8.89,0.379
Hard,13,24.4,4.21,0.163
Medium,13,44.4,21.58,1.107
Medium,41,32.1,67.54,3.196
Medium,14,17.6,14.11,0.554
Hard,40,53.7,18.52,0.804
Soft,22,25.4,100.0,4.772
Medium,13,24.7,15.96,0.72
Soft,20,27.1,100.0,4.379
Hard,9,42.6,3.08,0.134
Hard,8,37.8,2.91,0.147
Medium,21,45.9,42.24,1.715
Hard,19,28.9,6.05,0.277
Hard,43,54.2,19.54,0.922
Hard,5,32.1,1.55,0.079
Hard,38,22.8,13.97,0.595
Hard,26,28.5,8.53,0.432
Medium,7,46.5,10.8,0.514
Medium,5,32.2,5.68,0.218
Medium,15,24.1,18.85,0.844
Hard,44,48.2,17.84,0.701
Medium,44,25.4,61.37,2.849
Medium,15,47.2,25.91,1.15
Hard,38,27.1,12.02,0.571
Hard,28,20.6,9.35,0.414
Soft,3,25.9,6.73,0.273
Soft,4,39.6,20.33,0.954
Medium,35,52.0,84.28,3.58
Hard,35,30.4,11.97,0.614
Soft,7,39.3,37.34,1.611
Soft,7,33.1,30.65,1.503
Medium,25,48.5,51.48,2.174
Soft,34,48.8,100.0,4.192
Soft,38,49.9,100.0,4.336
Medium,18,28.8,24.64,1.139
Soft,37,26.8,100.0,4.305
Hard,3,39.7,1.0,0.044
Hard,3,23.7,0.87,0.037
Hard,33,22.4,10.22,0.42
Hard,39,54.7,16.78,0.691
Medium,12,52.3,22.98,1.091
Medium,39,38.2,81.18,3.613
Medium,26,24.9,34.85,1.771
Hard,42,38.0,15.0,0.718
Hard,17,24.1,5.81,0.238
Medium,11,35.1,14.4,0.641
Soft,27,29.8,100.0,4.685
Hard,21,28.9,6.83,0.286
Medium,3,32.0,3.15,0.147
Hard,42,20.1,13.33,0.584
Soft,38,37.9,100.0,4.028
Medium,20,42.8,34.95,1.548
Soft,44,48.3,100.0,5.057
Soft,19,50.9,100.0,4.18
Soft,22,25.1,100.0,5.146
Soft,37,31.1,100.0,4.023
Soft,35,53.2,100.0,4.178
Medium,1,52.9,1.14,0.055
Hard,31,40.5,11.89,0.604
Soft,12,29.7,62.33,2.747
Soft,3,53.6,19.33,0.911
Medium,36,47.5,79.43,3.121
Hard,0,38.3,0.0,0.0
Soft,39,49.0,100.0,4.054
Soft,17,53.0,100.0,4.314
Soft,17,19.7,48.31,2.173
Hard,9,37.5,2.96,0.137
Medium,5,45.3,6.79,0.262
Soft,37,42.5,100.0,4.882
Soft,19,32.6,100.0,4.944
Medium,11,39.7,15.46,0.664
Medium,20,20.1,23.28,0.949
Hard,1,25.1,0.31,0.014
Medium,44,45.8,95.05,4.827
Medium,18,20.5,20.3,0.83
Soft,40,37.3,100.0,5.019
Medium,21,17.6,25.17,1.033
Medium,35,23.0,44.65,1.791
Soft,13,16.6,21.21,0.825
Hard,16,41.5,6.31,0.31
Soft,12,29.6,59.99,2.491
Medium,7,53.6,12.61,0.608
Hard,12,23.2,4.02,0.189
Hard,40,16.7,13.56,0.671
Medium,7,36.9,10.0,0.495
Soft,40,49.0,100.0,4.906
Hard,1,50.4,0.36,0.017
Soft,4,36.1,15.95,0.824
Hard,33,19.5,9.9,0.487
Soft,34,47.1,100.0,4.033
Soft,34,37.3,100.0,5.171
Hard,30,51.4,13.17,0.529
Hard,22,33.0,8.49,0.352
Medium,27,27.4,40.85,2.061
Hard,41,42.3,15.77,0.797
Medium,44,22.4,62.23,2.878
Hard,44,30.7,15.42,0.593
Soft,14,35.1,86.57,4.039
Soft,14,17.8,29.0,1.353
Medium,20,15.4,18.74,0.88
Hard,12,39.9,4.28,0.191
Hard,24,39.6,9.3,0.385
Hard,5,16.0,1.54,0.069
Soft,13,51.8,100.0,4.343
Medium,13,52.9,24.29,1.149
Soft,44,27.0,100.0,4.529
Hard,45,21.9,16.69,0.72
Medium,21,44.6,36.13,1.383
Soft,40,43.0,100.0,5.073
Hard,23,42.1,8.5,0.361
Medium,31,38.8,52.21,2.188
Medium,6,46.9,9.79,0.447
Medium,0,53.9,0.0,0.0
Hard,41,33.1,14.66,0.682
Soft,22,46.1,100.0,4.672
Hard,15,38.0,4.96,0.256
Soft,0,42.6,0.0,0.0
Hard,31,20.2,10.71,0.418
Soft,38,33.2,100.0,4.929
Medium,20,54.7,46.87,1.865
Medium,13,33.5,19.12,0.859
Hard,27,45.8,11.69,0.565
Soft,44,15.9,99.37,4.269
Medium,24,32.2,40.39,1.885
Soft,7,51.2,56.41,2.476
Soft,13,23.6,43.19,2.171
Medium,35,22.1,49.18,2.125
Medium,22,30.9,30.35,1.552
Hard,20,48.8,7.27,0.366
Hard,19,50.0,7.01,0.296
Medium,13,45.4,22.39,0.916
Medium,35,51.3,89.09,3.619
Medium,18,45.8,32.79,1.444
Medium,31,32.5,52.62,2.651
Medium,43,34.9,83.71,3.565
Hard,26,49.5,11.55,0.45
Medium,38,44.2,82.11,4.164
Medium,4,19.0,3.35,0.128
Hard,8,49.9,3.3,0.145
Medium,0,27.4,0.0,0.0
Hard,31,39.7,10.82,0.52
Soft,19,42.5,100.0,3.834
Hard,24,23.8,8.35,0.412
Soft,32,29.9,100.0,3.963
Soft,29,28.2,100.0,4.675
Soft,1,40.6,2.57,0.11
Soft,11,45.6,97.73,4.479
Soft,37,47.7,100.0,4.183
Medium,8,50.9,13.42,0.572
Hard,6,50.5,2.2,0.098
Hard,30,40.2,11.11,0.44
Hard,38,52.9,15.45,0.748
Hard,38,24.6,14.35,0.61
Hard,14,28.3,5.07,0.214
Hard,40,48.4,17.16,0.852
Soft,27,38.6,100.0,4.295
Hard,41,39.0,15.37,0.615
Hard,30,41.1,11.2,0.448
Soft,36,42.7,100.0,3.946
Hard,19,45.2,7.34,0.357
Soft,5,26.5,14.44,0.599
Medium,1,37.6,0.94,0.037
Soft,20,41.8,100.0,5.169
Medium,38,45.1,84.14,3.334
Hard,28,51.0,12.66,0.495
Hard,23,39.7,8.47,0.383
Medium,43,54.7,100.0,4.818
Soft,5,15.7,4.69,0.18
Hard,18,47.5,7.65,0.312
Hard,26,27.8,9.15,0.453
Hard,28,22.0,8.97,0.429
Medium,7,28.4,8.62,0.4
Hard,13,33.3,4.86,0.235
Soft,28,48.1,100.0,4.337
Soft,43,31.1,100.0,4.397
Medium,7,23.5,7.0,0.277
Hard,16,46.5,6.31,0.274
Hard,20,54.1,8.79,0.406
Medium,34,53.8,81.02,3.905
